Category,ID,Latitude,Longitude,Date,DAYMET_Region,DAYMET_004_Line_Y_1000,DAYMET_004_Sample_X_1000,DAYMET_004_dayl,DAYMET_004_prcp,DAYMET_004_srad,DAYMET_004_swe,DAYMET_004_tmax,DAYMET_004_tmin,DAYMET_004_vp
weather study,chicago,41.881832,-87.623177,2023-05-15,na,4977,5536,51716.9296875,0.0,404.519989,0.0,19.1200008,9.8000002,1211.2600098
weather study,chicago,41.881832,-87.623177,2023-05-16,na,4977,5536,51837.390625,0.0,538.2600098,0.0,26.5499992,8.9499998,1104.0
weather study,chicago,41.881832,-87.623177,2023-05-17,na,4977,5536,51955.5195312,0.0,406.0100098,0.0,16.2099991,6.8899999,993.6500244
weather study,chicago,41.881832,-87.623177,2023-05-18,na,4977,5536,52071.2304688,0.0,542.039978,0.0,23.2000008,6.1100001,899.3400269
weather study,chicago,41.881832,-87.623177,2023-05-19,na,4977,5536,52184.4804688,4.27,348.5100098,0.0,22.8500004,10.6300001,1280.3199463
weather study,chicago,41.881832,-87.623177,2023-05-20,na,4977,5536,52295.1914062,0.0,469.1799927,0.0,20.2199993,8.3599997,1098.6500244
weather study,chicago,41.881832,-87.623177,2023-05-21,na,4977,5536,52403.3085938,0.0,525.0700073,0.0,25.9200001,9.75,1150.5999756
weather study,chicago,41.881832,-87.623177,2023-05-22,na,4977,5536,52508.78125,0.0,513.289978,0.0,26.7999992,10.9700003,1250.9499512
weather study,chicago,41.881832,-87.623177,2023-05-23,na,4977,5536,52611.53125,0.0,497.1400146,0.0,28.5,12.9899998,1430.8800049
weather study,chicago,41.881832,-87.623177,2023-05-24,na,4977,5536,52711.5117188,0.0,360.9400024,0.0,20.2600002,11.5100002,1356.8399658
weather study,chicago,41.881832,-87.623177,2023-05-25,na,4977,5536,52808.6484375,0.0,338.3699951,0.0,15.9799995,8.1400003,1082.4399414
weather study,chicago,41.881832,-87.623177,2023-05-26,na,4977,5536,52902.890625,0.0,492.1799927,0.0,19.7800007,6.1799998,891.5499878
weather study,chicago,41.881832,-87.623177,2023-05-27,na,4977,5536,52994.1796875,0.0,522.6099854,0.0,22.3500004,6.7600002,890.4500122
weather study,chicago,41.881832,-87.623177,2023-05-28,na,4977,5536,53082.4609375,0.0,491.75,0.0,25.2199993,11.0,1128.2399902
weather study,chicago,41.881832,-87.623177,2023-05-29,na,4977,5536,53167.6601562,0.0,529.9099731,0.0,27.7299995,10.5600004,1009.0200195
weather study,chicago,41.881832,-87.623177,2023-05-30,na,4977,5536,53249.75,0.0,514.039978,0.0,30.7600002,13.7600002,1222.4200439
weather study,chicago,41.881832,-87.623177,2023-05-31,na,4977,5536,53328.6484375,0.0,449.2999878,0.0,32.0900002,18.1399994,1718.9300537
weather study,chicago,41.881832,-87.623177,2023-06-01,na,4977,5536,53404.3203125,0.0,434.9899902,0.0,32.0999985,18.6000004,1795.8299561
weather study,chicago,41.881832,-87.623177,2023-06-02,na,4977,5536,53476.7109375,0.0,447.1400146,0.0,31.7600002,17.7000008,1677.0500488
weather study,chicago,41.881832,-87.623177,2023-06-03,na,4977,5536,53545.7617188,0.0,426.3500061,0.0,30.0100002,17.2900009,1676.1099854
weather study,chicago,41.881832,-87.623177,2023-06-04,na,4977,5536,53611.421875,0.0,352.2099915,0.0,24.4799995,15.0799999,1606.0699463
weather study,chicago,41.881832,-87.623177,2023-06-05,na,4977,5536,53673.6601562,0.0,499.2600098,0.0,27.7399998,12.0100002,1098.7399902
weather study,chicago,41.881832,-87.623177,2023-06-06,na,4977,5536,53732.4296875,0.84,354.7900085,0.0,24.1000004,14.6800003,1558.9200439
weather study,chicago,41.881832,-87.623177,2023-06-07,na,4977,5536,53787.671875,0.0,371.2099915,0.0,22.8799992,12.9799995,1385.5500488
weather study,chicago,41.881832,-87.623177,2023-06-08,na,4977,5536,53839.359375,0.0,437.8800049,0.0,22.5699997,10.4499998,1052.6800537
weather study,chicago,41.881832,-87.623177,2023-06-09,na,4977,5536,53887.4609375,0.0,506.8599854,0.0,26.0200005,10.3299999,931.8599854
weather study,chicago,41.881832,-87.623177,2023-06-10,na,4977,5536,53931.921875,2.1099999,370.3599854,0.0,29.7299995,13.8599997,1326.25
weather study,chicago,41.881832,-87.623177,2023-06-11,na,4977,5536,53972.71875,2.8199999,166.0200043,0.0,17.1499996,11.8199997,1385.0300293
weather study,chicago,41.881832,-87.623177,2023-06-12,na,4977,5536,54009.8203125,2.73,303.1499939,0.0,20.3500004,9.5799999,1156.0100098
weather study,chicago,41.881832,-87.623177,2023-06-13,na,4977,5536,54043.1992188,20.4899998,178.8099976,0.0,17.9899998,12.1400003,1414.3900146
weather study,chicago,41.881832,-87.623177,2023-06-14,na,4977,5536,54072.8203125,0.0,329.0499878,0.0,22.5599995,13.9799995,1561.8699951
weather study,chicago,41.881832,-87.623177,2023-06-15,na,4977,5536,54098.6796875,0.0,485.4100037,0.0,26.6000004,12.0900002,1123.4100342
weather study,chicago,41.881832,-87.623177,2023-06-16,na,4977,5536,54120.7382812,0.0,325.25,0.0,18.7900009,10.6700001,1271.0100098
weather study,chicago,41.881832,-87.623177,2023-06-17,na,4977,5536,54138.9882812,0.0,513.3800049,0.0,25.5400009,9.71,938.6799927
weather study,chicago,41.881832,-87.623177,2023-06-18,na,4977,5536,54153.421875,0.0,488.9200134,0.0,29.0699997,13.9799995,1243.4399414
weather study,chicago,41.881832,-87.623177,2023-06-19,na,4977,5536,54164.0117188,0.0,444.3699951,0.0,29.0200005,15.9700003,1486.5100098
weather study,chicago,41.881832,-87.623177,2023-06-20,na,4977,5536,54170.75,0.0,436.4899902,0.0,27.2099991,14.8400002,1409.7900391
weather study,chicago,41.881832,-87.623177,2023-06-21,na,4977,5536,54173.6484375,0.0,450.8800049,0.0,29.6499996,16.5,1468.0699463
weather study,chicago,41.881832,-87.623177,2023-06-22,na,4977,5536,54172.6992188,0.0,389.4700012,0.0,28.1299992,17.5499992,1704.3399658
weather study,chicago,41.881832,-87.623177,2023-06-23,na,4977,5536,54167.890625,0.0,385.5599976,0.0,28.0599995,17.6800003,1622.25
weather study,chicago,41.881832,-87.623177,2023-06-24,na,4977,5536,54159.2382812,21.1000004,363.8099976,0.0,32.2799988,16.6700001,1510.7199707
weather study,chicago,41.881832,-87.623177,2023-06-25,na,4977,5536,54146.7382812,7.1199999,291.2999878,0.0,29.7600002,18.6200008,2007.5600586
weather study,chicago,41.881832,-87.623177,2023-06-26,na,4977,5536,54130.421875,0.0,176.1999969,0.0,23.3799992,19.0499992,2202.8100586
weather study,chicago,41.881832,-87.623177,2023-06-27,na,4977,5536,54110.28125,0.0,279.6000061,0.0,23.0200005,16.1900005,1828.3900146
weather study,chicago,41.881832,-87.623177,2023-06-28,na,4977,5536,54086.3398438,0.0,511.9899902,0.0,28.2700005,12.8100004,1092.4100342
weather study,chicago,41.881832,-87.623177,2023-06-29,na,4977,5536,54058.609375,15.1599998,290.4200134,0.0,30.0699997,19.5100002,2142.9499512
weather study,chicago,41.881832,-87.623177,2023-06-30,na,4977,5536,54027.1210938,0.0,395.4400024,0.0,31.3799992,20.6499996,2062.3701172
weather study,chicago,41.881832,-87.623177,2023-07-01,na,4977,5536,53991.890625,38.1899986,235.8800049,0.0,28.9200001,20.8500004,2463.2299805
weather study,chicago,41.881832,-87.623177,2023-07-02,na,4977,5536,53952.9609375,111.9499969,146.1900024,0.0,23.2099991,18.7900009,2167.7600098
weather study,chicago,41.881832,-87.623177,2023-07-03,na,4977,5536,53910.3398438,0.0,439.4100037,0.0,28.8099995,16.7999992,1912.3699951
weather study,chicago,41.881832,-87.623177,2023-07-04,na,4977,5536,53864.0703125,0.0,454.5700073,0.0,32.5400009,18.8299999,2173.6201172
weather study,chicago,41.881832,-87.623177,2023-07-05,na,4977,5536,53814.1914062,25.3899994,306.4299927,0.0,32.6399994,21.0499992,2494.1298828
weather study,chicago,41.881832,-87.623177,2023-07-06,na,4977,5536,53760.7304688,0.0,306.5499878,0.0,26.0,18.6900005,2153.9499512
weather study,chicago,41.881832,-87.623177,2023-07-07,na,4977,5536,53703.7382812,4.27,295.0599976,0.0,26.6100006,16.6900005,1899.2299805
weather study,chicago,41.881832,-87.623177,2023-07-08,na,4977,5536,53643.25,0.89,291.6600037,0.0,23.1100006,16.5100002,1876.8599854
weather study,chicago,41.881832,-87.623177,2023-07-09,na,4977,5536,53579.3007812,0.0,486.4599915,0.0,28.4899998,14.4799995,1648.6700439
weather study,chicago,41.881832,-87.623177,2023-07-10,na,4977,5536,53511.9492188,0.0,461.6600037,0.0,29.2800007,16.4400005,1869.2199707
weather study,chicago,41.881832,-87.623177,2023-07-11,na,4977,5536,53441.2382812,27.5799999,302.7799988,0.0,29.6800003,19.0100002,2197.25
weather study,chicago,41.881832,-87.623177,2023-07-12,na,4977,5536,53367.21875,26.9099998,267.3699951,0.0,24.9099998,16.4500008,1870.7199707
weather study,chicago,41.881832,-87.623177,2023-07-13,na,4977,5536,53289.9414062,0.0,336.4400024,0.0,24.7900009,16.8600006,1919.2600098
weather study,chicago,41.881832,-87.623177,2023-07-14,na,4977,5536,53209.4609375,9.8999996,335.4500122,0.0,31.9599991,18.8299999,2173.2099609
weather study,chicago,41.881832,-87.623177,2023-07-15,na,4977,5536,53125.8203125,4.4000001,265.2799988,0.0,28.9200001,20.0100002,2338.5900879
weather study,chicago,41.881832,-87.623177,2023-07-16,na,4977,5536,53039.0898438,0.0,356.1499939,0.0,27.1700001,18.3999996,2115.2700195
weather study,chicago,41.881832,-87.623177,2023-07-17,na,4977,5536,52949.3085938,0.0,351.4700012,0.0,25.9899998,17.6499996,2017.4799805
weather study,chicago,41.881832,-87.623177,2023-07-18,na,4977,5536,52856.5507812,0.0,423.5799866,0.0,25.3400002,14.8900003,1692.8599854
weather study,chicago,41.881832,-87.623177,2023-07-19,na,4977,5536,52760.859375,0.0,481.7999878,0.0,28.3199997,14.7200003,1673.6400146
weather study,chicago,41.881832,-87.623177,2023-07-20,na,4977,5536,52662.3085938,0.0,426.9400024,0.0,30.2399998,18.7800007,2166.5100098
weather study,chicago,41.881832,-87.623177,2023-07-21,na,4977,5536,52560.9492188,0.0,352.230011,0.0,26.1200008,17.9099998,2051.1398926
weather study,chicago,41.881832,-87.623177,2023-07-22,na,4977,5536,52456.8398438,9.9099998,354.8200073,0.0,29.2099991,15.8699999,1802.2399902
weather study,chicago,41.881832,-87.623177,2023-07-23,na,4977,5536,52350.0507812,0.0,432.8299866,0.0,28.4599991,17.1000004,1948.8800049
weather study,chicago,41.881832,-87.623177,2023-07-24,na,4977,5536,52240.640625,0.0,433.2999878,0.0,29.9500008,18.3500004,2108.5100098
weather study,chicago,41.881832,-87.623177,2023-07-25,na,4977,5536,52128.6601562,0.0,452.8200073,0.0,31.6499996,18.6499996,2148.6499023
weather study,chicago,41.881832,-87.623177,2023-07-26,na,4977,5536,52014.1914062,9.5,279.9899902,0.0,31.6299992,21.7199993,2598.6201172
weather study,chicago,41.881832,-87.623177,2023-07-27,na,4977,5536,51897.2695312,6.1100001,290.9700012,0.0,32.1500015,21.5200005,2565.75
weather study,chicago,41.881832,-87.623177,2023-07-28,na,4977,5536,51777.9804688,27.2099991,315.6900024,0.0,33.1699982,21.0200005,2489.5
weather study,chicago,41.881832,-87.623177,2023-07-29,na,4977,5536,51656.3710938,0.0,306.7399902,0.0,26.9899998,19.7399998,2299.6101074
weather study,chicago,41.881832,-87.623177,2023-07-30,na,4977,5536,51532.5117188,0.0,357.730011,0.0,26.0300007,17.5100002,1999.8599854
weather study,chicago,41.881832,-87.623177,2023-07-31,na,4977,5536,51406.4609375,0.0,434.6000061,0.0,27.3199997,15.8500004,1800.5500488
weather study,chicago,41.881832,-87.623177,2023-08-01,na,4977,5536,51278.28125,0.0,402.1199951,0.0,28.6700001,18.0499992,2069.2800293
weather study,chicago,41.881832,-87.623177,2023-08-02,na,4977,5536,51148.03125,0.0,393.4400024,0.0,28.5799999,18.3099995,2103.4499512
weather study,chicago,41.881832,-87.623177,2023-08-03,na,4977,5536,51015.7617188,0.0,453.4599915,0.0,31.0400009,17.6399994,2016.3100586
weather study,chicago,41.881832,-87.623177,2023-08-04,na,4977,5536,50881.5507812,0.0,335.7900085,0.0,28.4099998,20.0599995,2345.3100586
weather study,chicago,41.881832,-87.623177,2023-08-05,na,4977,5536,50745.4492188,16.5499992,169.3899994,0.0,24.2199993,19.1200008,2212.3300781
weather study,chicago,41.881832,-87.623177,2023-08-06,na,4977,5536,50607.5195312,3.1199999,131.0599976,0.0,22.1100006,18.3600006,2109.5400391
weather study,chicago,41.881832,-87.623177,2023-08-07,na,4977,5536,50467.8085938,0.0,334.3399963,0.0,25.8400002,17.9300003,2053.3999023
weather study,chicago,41.881832,-87.623177,2023-08-08,na,4977,5536,50326.3789062,0.0,454.3699951,0.0,28.8500004,16.0400009,1821.9499512
weather study,chicago,41.881832,-87.623177,2023-08-09,na,4977,5536,50183.2890625,0.0,345.0700073,0.0,25.7900009,17.6499996,2018.3699951
weather study,chicago,41.881832,-87.623177,2023-08-10,na,4977,5536,50038.6015625,0.0,423.8500061,0.0,28.6700001,17.3500004,1979.5600586
weather study,chicago,41.881832,-87.623177,2023-08-11,na,4977,5536,49892.3515625,2.1800001,266.1199951,0.0,28.8299999,19.9300003,2327.4799805
weather study,chicago,41.881832,-87.623177,2023-08-12,na,4977,5536,49744.609375,0.0,369.9700012,0.0,29.5100002,19.9400005,2327.8400879
weather study,chicago,41.881832,-87.623177,2023-08-13,na,4977,5536,49595.4296875,0.0,341.769989,0.0,25.9300003,17.8199997,2039.9499512
weather study,chicago,41.881832,-87.623177,2023-08-14,na,4977,5536,49444.8515625,44.6699982,202.6499939,0.0,23.5799999,17.5900002,2010.9200439
weather study,chicago,41.881832,-87.623177,2023-08-15,na,4977,5536,49292.9296875,3.5999999,262.1099854,0.0,24.5,16.3500004,1858.6300049
weather study,chicago,41.881832,-87.623177,2023-08-16,na,4977,5536,49139.71875,0.0,466.1000061,0.0,26.9699993,13.6099997,1558.1199951
weather study,chicago,41.881832,-87.623177,2023-08-17,na,4977,5536,48985.2617188,8.7299995,292.8500061,0.0,26.3199997,16.4500008,1870.2299805
weather study,chicago,41.881832,-87.623177,2023-08-18,na,4977,5536,48829.6210938,0.0,435.7200012,0.0,25.2099991,13.7200003,1569.0400391
weather study,chicago,41.881832,-87.623177,2023-08-19,na,4977,5536,48672.8203125,0.0,444.0599976,0.0,27.4200001,14.9899998,1703.2600098
weather study,chicago,41.881832,-87.623177,2023-08-20,na,4977,5536,48514.9296875,0.0,403.7000122,0.0,31.6900005,20.0499992,2343.7600098
weather study,chicago,41.881832,-87.623177,2023-08-21,na,4977,5536,48355.9804688,0.0,288.9599915,0.0,27.0,20.0900002,2349.8701172
weather study,chicago,41.881832,-87.623177,2023-08-22,na,4977,5536,48196.03125,0.0,389.1099854,0.0,30.4200001,19.75,2301.8601074
weather study,chicago,41.881832,-87.623177,2023-08-23,na,4977,5536,48035.1015625,0.0,404.2900085,0.0,35.9799995,22.9400005,2798.1899414
weather study,chicago,41.881832,-87.623177,2023-08-24,na,4977,5536,47873.25,0.0,399.5100098,0.0,36.7999992,23.6299992,2916.8100586
weather study,chicago,41.881832,-87.623177,2023-08-25,na,4977,5536,47710.5195312,0.0,243.1600037,0.0,26.5300007,20.7900009,2454.2700195
weather study,chicago,41.881832,-87.623177,2023-08-26,na,4977,5536,47546.9414062,0.0,257.8399963,0.0,23.8500004,18.0200005,2065.3300781
weather study,chicago,41.881832,-87.623177,2023-08-27,na,4977,5536,47382.5703125,0.0,314.7799988,0.0,23.1299992,15.9700003,1813.4399414
weather study,chicago,41.881832,-87.623177,2023-08-28,na,4977,5536,47217.4296875,0.0,436.730011,0.0,25.5699997,13.4700003,1543.9499512
weather study,chicago,41.881832,-87.623177,2023-08-29,na,4977,5536,47051.5585938,0.0,440.5799866,0.0,28.8899994,15.5299997,1763.5500488
weather study,chicago,41.881832,-87.623177,2023-08-30,na,4977,5536,46885.0117188,0.0,335.730011,0.0,20.8400002,13.0500002,1501.4300537
weather study,chicago,41.881832,-87.623177,2023-08-31,na,4977,5536,46717.8085938,0.0,456.7399902,0.0,24.3299999,10.8500004,1298.9399414
weather study,chicago,41.881832,-87.623177,2023-09-01,na,4977,5536,46549.9882812,0.0,460.4899902,0.0,28.0699997,12.9799995,1494.8900146
weather study,chicago,41.881832,-87.623177,2023-09-02,na,4977,5536,46381.5898438,0.0,446.6499939,0.0,30.4699993,15.4700003,1757.0400391
weather study,chicago,41.881832,-87.623177,2023-09-03,na,4977,5536,46212.640625,0.0,409.2600098,0.0,33.1800003,19.5499992,2273.0100098
weather study,chicago,41.881832,-87.623177,2023-09-04,na,4977,5536,46043.1796875,0.0,379.0299988,0.0,33.1699982,20.9300003,2475.2199707
weather study,chicago,41.881832,-87.623177,2023-09-05,na,4977,5536,45873.2382812,5.79,239.0599976,0.0,32.7900009,23.0300007,2813.5700684
weather study,chicago,41.881832,-87.623177,2023-09-06,na,4977,5536,45702.859375,4.5100002,202.3800049,0.0,27.5799999,20.2299995,2370.25
weather study,chicago,41.881832,-87.623177,2023-09-07,na,4977,5536,45532.0507812,5.8099999,104.8600006,0.0,20.9200001,17.6200008,2013.9000244
weather study,chicago,41.881832,-87.623177,2023-09-08,na,4977,5536,45360.8710938,5.0100002,144.4199982,0.0,19.6900005,15.1499996,1720.5500488
weather study,chicago,41.881832,-87.623177,2023-09-09,na,4977,5536,45189.3203125,0.0,384.7600098,0.0,22.9300003,12.2200003,1422.5
weather study,chicago,41.881832,-87.623177,2023-09-10,na,4977,5536,45017.4609375,7.9899998,331.0700073,0.0,26.25,11.21,1330.0400391
